Year,Mean_Sea_Level_m,Mean_Higher_High_Water_m,Mean_Lower_High_Water_m,Mean_Higher_Low_Water_m,Mean_Lower_Low_Water_m
1954,1.51,,,,
1955,1.49,,,,
1956,1.5,,,,
1957,1.38,,,,
1958,1.36,,,,
1959,1.37,,,,
1960,1.38,2.1,1.61,1.06,0.63
1961,1.35,2.09,1.57,1.05,0.58
1962,1.33,2.06,1.55,1.01,0.53
1963,1.28,2.03,1.49,0.97,0.47
1964,1.38,,,,
1965,1.35,2.13,1.55,1.05,0.53
1966,1.34,2.13,1.54,1.05,0.51
1967,1.33,2.1,1.51,1.01,0.52
1968,1.31,2.1,1.51,1.01,0.5
1969,1.34,2.15,1.54,1.04,0.53
1970,1.37,2.16,1.56,1.06,0.55
1971,1.38,2.17,1.57,1.08,0.58
1972,1.36,2.13,1.55,1.04,0.55
1973,1.39,2.17,1.59,1.08,0.59
1974,1.42,2.17,1.62,1.11,0.64
1975,1.39,2.13,1.6,1.05,0.61
1976,1.4,2.12,1.6,1.09,0.64
1977,1.37,2.09,1.58,1.05,0.62
1978,1.44,2.15,1.66,1.11,0.67
1979,1.39,2.09,1.61,1.06,0.62
1980,1.4,2.1,1.62,1.09,0.63
1981,1.44,2.15,1.65,1.12,0.66
1982,1.37,2.08,1.57,1.06,0.6
1983,1.36,2.07,1.54,1.07,0.6
1984,1.41,2.17,1.61,1.1,0.64
1985,1.36,2.11,1.55,1.05,0.56
1986,1.37,2.15,1.59,1.05,0.55
1987,1.36,2.14,1.6,1.02,0.55
1988,1.41,2.19,1.61,1.11,0.6
1989,1.44,2.21,1.62,1.14,0.63
1990,1.41,2.18,1.59,1.1,0.6
1991,1.41,2.18,1.59,1.1,0.6
1992,1.35,2.11,1.55,1.03,0.54
1993,1.34,2.09,1.53,1.01,0.54
1994,1.43,2.17,1.64,1.09,0.64
1995,1.41,2.15,1.63,1.06,0.63
1996,1.45,2.18,1.67,1.11,0.68
1997,1.44,2.16,1.67,1.11,0.67
1998,1.44,2.16,1.67,1.11,0.65
1999,1.51,2.26,1.74,1.18,0.69
2000,1.48,2.23,1.71,1.14,0.66
2001,1.48,2.24,1.71,1.16,0.66
2002,1.43,2.21,1.64,1.11,0.58
2003,1.43,2.23,1.62,1.11,0.6
2004,1.4,2.12,1.58,1.11,0.66
2005,1.44,2.18,1.62,1.15,0.68
2006,1.42,2.13,1.62,1.12,0.67
2007,1.37,2.1,1.54,1.09,0.61
2008,1.41,2.13,1.59,1.12,0.65
2009,1.49,2.24,1.68,1.16,0.7
2010,1.43,2.21,1.63,1.11,0.63
2011,1.5,2.26,1.7,1.17,0.7
2012,1.48,2.23,1.69,1.16,0.71
2013,1.46,2.17,1.67,1.14,0.7
2014,1.48,2.18,1.69,1.16,0.73
2015,1.45,2.15,1.66,1.12,0.68
2016,1.49,2.2,1.72,1.17,0.72
2017,1.5,2.21,1.72,1.18,0.73
2018,1.45,2.18,1.67,1.13,0.65
2019,1.48,2.22,1.7,1.16,0.67
2020,1.47,2.21,1.67,1.15,0.67
2021,1.45,2.2,1.66,1.14,0.65
2022,1.5,2.28,1.72,1.21,0.69
2023,1.46,2.22,1.66,1.15,0.65
2024,1.49,2.26,1.7,1.18,0.67
